Area construida;Area privada;Precio metro cuadrado;Precio administracion;Estrato;Antiguedad;Estado;Tamaño;Habitaciones;Baños;Parqueaderos;Precio
66;62;3015152;93900;2;3;3;66;3;2;1;199000000
59;56;4745763;216000;3;2;3;59;3;2;1;280000000
132;132;4696970;468000;4;5;3;132;3;3;0;620000000
43;43;4883721;240000;4;5;2;43;1;1;0;210000000
56;56;3750000;108000;3;3;2;56;3;2;1;210000000
315;1504;5714286;810000;6;3;3;315;4;6;6;1800000000
59;59;2457627;110000;3;4;3;59;2;1;0;145000000
128;125;5781250;362250;5;4;3;128;3;3;2;740000000
118;118;5508475;550000;6;4;3;118;3;4;2;650000000
51;51;5862745;202000;4;2;3;51;1;2;1;299000000
125;125;6560000;368000;4;3;3;125;4;4;2;820000000
78;78;5000000;350000;4;2;3;78;3;2;1;390000000
54;54;4962963;255000;4;2;3;54;1;2;1;268000000
116;86;7068966;820000;6;4;2;116;1;2;2;820000000
274;244;8576642;1550000;6;4;2;274;3;3;4;2350000000
180;75;4333333;100;4;2;3;180;3;3;2;780000000
238;238;11000000;2200000;6;3;3;238;3;4;3;2618000000
143;132;4335664;450000;6;5;2;143;3;3;2;620000000
105;105;4857143;372000;4;3;2;105;3;2;2;510000000
97;90;3907216;170000;4;3;3;97;3;2;1;379000000
117;100;5042735;488000;5;2;3;117;4;2;2;590000000
196;196;3979592;500000;5;4;2;196;4;5;2;780000000
102;96;4303922;260000;4;4;3;102;3;3;1;439000000
290;290;7413793;2150000;6;4;2;290;3;4;2;2150000000
50;48;4700000;216000;4;4;3;50;2;1;1;235000000
110;103;4445455;450000;6;4;3;110;3;3;2;489000000
110;103;3545455;280000;4;4;3;110;3;3;2;390000000
111;111;5855856;630000;5;2;3;111;2;3;2;650000000
55;50;4000000;125000;3;4;2;55;2;2;1;220000000
52;47;3173077;67000;2;2;3;52;2;1;0;165000000
69;60;6014493;230500;4;2;3;69;2;2;2;415000000
76;76;2763158;60000;2;3;2;76;4;1;0;210000000
406;406;6899015;1900000;6;3;3;406;4;7;4;2801000000
185;185;4535135;900000;6;4;3;185;3;4;2;839000000
148;148;5912162;680000;6;3;3;148;3;5;2;875000000
240;240;5250000;970000;6;3;3;240;3;5;3;1260000000
113;98;5752212;730000;6;4;3;113;3;3;1;650000000
200;200;5495000;1200000;6;4;3;200;3;5;2;1099000000
60;58;3000000;100000;3;2;3;60;3;2;0;180000000
145;74;3241379;130000;4;5;2;145;3;3;1;470000000
48;48;3562500;100000;3;3;2;48;2;1;0;171000000
144;144;12500000;1029336;6;2;2;144;1;2;0;1800000000
57;57;6807018;270000;5;2;3;57;1;2;1;388000000
53;53;4113208;109000;4;3;2;53;2;1;1;218000000
53;53;3433962;97000;3;4;3;53;3;1;0;182000000
100;100;4700000;402000;6;4;3;100;3;3;1;470000000
50;50;2600000;85000;2;5;2;50;3;1;0;130000000
85;85;4529412;320000;4;3;2;85;3;2;1;385000000
68;63;3455882;110000;3;3;2;68;3;2;1;235000000
83;83;6385542;380000;6;2;3;83;2;3;1;530000000
1914;1144;6269592;200;6;2;3;1914;8;12;6;12000000000
197;197;12690355;1300000;6;2;2;197;3;5;3;2500000000
49;49;3469388;150000;3;4;3;49;2;1;1;170000000
226;226;5752212;1650000;6;4;2;226;4;3;3;1300000000
200;160;4300000;540000;5;3;3;200;3;3;2;860000000
51;51;3333333;125000;3;4;3;51;2;1;1;170000000
81;81;5308642;348000;5;5;2;81;3;2;3;430000000
75;75;4000000;205000;4;2;3;75;3;2;1;300000000
54;54;5166667;354700;5;4;2;54;1;1;1;279000000
48;49;3020833;66000;3;4;2;48;3;1;0;145000000
79;79;5063291;380000;3;5;3;79;2;2;1;400000000
1;1;160000000;1;2;3;2;1;4;2;0;160000000
170;170;4458824;603;4;2;3;170;4;4;2;758000000
68;68;2720588;40000;3;4;3;68;3;1;0;185000000
180;180;4388889;100;4;2;3;180;3;3;3;790000000
60;56;6150000;208000;6;2;3;60;1;2;1;369000000
112;102;4598214;368000;5;3;2;112;3;3;2;515000000
42;38;4404762;105000;3;2;3;42;2;1;0;185000000
77;71;2987013;85000;3;3;3;77;4;2;0;230000000
86;86;6162791;632500;6;4;2;86;2;2;1;530000000
111;111;5855856;630000;5;2;3;111;2;3;2;650000000
165;131;5151515;760000;6;4;2;165;3;3;3;850000000
70;67;4500000;216000;4;4;3;70;3;2;2;315000000
41;37;2926829;68000;2;3;2;41;2;1;0;120000000
68;68;3581871;60000;3;1;3;68;3;2;1;245000000
70;70;4928571;248000;5;4;3;70;2;2;1;345000000
75;102;7552951;210000;4;1;3;75;2;2;1;567000000
67;63;5149254;250000;5;4;2;67;2;2;1;345000000
65;60;6000000;284000;5;3;3;65;2;2;2;390000000
81;81;5061728;322000;5;4;2;81;4;3;2;410000000
62;58;4472843;206000;3;2;3;62;3;2;1;280000000
228;228;4780702;1164000;6;5;2;228;4;5;3;1090000000
72;72;3750000;245000;4;3;3;72;3;2;1;270000000
62;58;2983871;125000;3;3;3;62;3;1;1;185000000
60;60;7666667;250000;4;3;2;60;1;2;1;460000000
95;90;4947368;310000;5;2;3;95;3;2;1;470000000
